"mun_id","mun_nom","pob_tot","sup_km2","mun_loc_tot","reg","dist","pob_18_44","pea_tot","pea_ocup","pea_ocup_inf","pct_pea","pct_ocup_pea","pct_ocup_inf","loc_princ_1","loc_princ_2","loc_princ_3","sec_princ","ue_sec_tot","ue_mun_tot","pymes_tot","prod_princ_1","vol_gan_1","prod_princ_2","vol_gan_2","prod_princ_3","vol_gan_3","cult_princ_1","vol_agri_1","cult_princ_2","vol_agri_2","cult_princ_3","vol_agri_3","viv_tot","viv_sin_agua","pct_viv_sin_agua","viv_sin_pc","pct_viv_sin_pc","viv_sin_dren","pct_viv_sin_dren","viv_sin_luz","pct_viv_sin_luz","viv_sin_int","pct_viv_sin_int","esc_ms_23_24","alum_ms_23_24","esc_sup_23_24","alum_sup_23_24","caren_salud","caren_seg_soc","acceso_alim","rez_educ","pobreza_multi","pobreza_ext","pobreza_mod","vul_caren_soc","vul_ing","no_pob_no_vul","afiliacion_salud","rama_princ_1","artesanos_tot_1","rama_princ_2","artesanos_tot_2","rama_princ_3","artesanos_tot_3","artesanos_tot_mun","vacb","total_ingresos","pct_de_18"
"309",San Pedro Ixcatlán,10368,"101.9",20,Papaloapan,Tuxtepec,3320,3894,3861,3700,57.06,99.16,95.81,San Pedro Ixcatlán,San Felipe Tílpam,Cerro Quemado,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",225,593,3,Ganado en pie de Bovino,"664.0",Carne de Bovino,"359.9",Ganado en pie de Porcino,"199.5",Pastos y praderas,"325,8",Maíz grano,"2,054",Café cereza,"414.4",2828,673,23.80,2691,95.16,1836,64.92,93.0,3.29,2694,95.26,3.0,219.0,0.0,0.0,1364,8333,5421,3904,9221,4932,4290,976,65,110,8856,Textiles,20,Fibras Vegetales,1,,,21,18.423,76.039,32.02
"310",San Pedro Ixtlahuaca,14552,"23.2",50,Valles Centrales,Centro,6362,6620,6489,5104,66.02,98.02,78.66,San Pedro Ixtlahuaca,Loma Bonita [Colonia],Buena Vista,Comercio al por menor,104,294,6,Leche de Bovino,"271.2",Ganado en pie de Bovino,"78.63",Carne de Bovino,"40.55",Tomate rojo (jitomate),"641.4",Maíz grano,"362.6",Alfalfa verde,"346.2",3692,1760,47.67,3069,83.13,829,22.45,268.0,7.26,3019,81.77,1.0,264.0,0.0,0.0,8620,12876,3884,3525,8901,2509,6392,6592,188,698,8866,Madera Tallada,2,Textiles,1,,,3,22.091,58.591,43.72
"311",San Pedro Jaltepetongo,483,"51.5",3,Cañada,Cuicatlán,117,187,185,185,52.3,99.29,100.0,San Pedro Jaltepetongo,El Llano,Nucabaa,Industria manufacturera,137,159,3,Ganado en pie de Ave,"54.28",Carne de Ave,"40.83",Ganado en pie de Porcino,"17.99",Maíz grano,"126.5",Aguacate,"14.60",Trigo grano,"13.20",161,21,13.04,158,98.14,3,1.86,1.0,0.62,123,76.40,0.0,0.0,0.0,0.0,12,363,19,163,465,266,199,16,2,0,471,,,,,,,,8.943,11.586,24.22
"312",San Pedro Jicayán,11279,"85.1",18,Costa,Jamiltepec,3740,4326,4313,4211,58.45,99.71,97.64,San Pedro Jicayán,San Juan Jicayán,Santiago Jicayán,Comercio al por menor,128,322,8,Ganado en pie de Bovino,"522.5",Leche de Bovino,"280.5",Carne de Bovino,"279.4",Pastos y praderas,"7,960",Maíz grano,"1,819",Mango,"40.48",2686,1193,44.42,2563,95.42,314,11.69,67.0,2.49,2219,82.61,3.0,319.0,0.0,0.0,5565,10461,7001,3239,10876,5844,5032,1735,51,98,8344,Textiles,148,Madera Tallada,16,Alfareria y Ceramica,5,170,13.015,72.129,33.16
"313",San Pedro Jocotipac,730,"69.4",3,Cañada,Cuicatlán,217,330,325,292,55.3,98.57,89.65,San Pedro Jocotipac,Cerro de la Cruz,Rancho Buenavista,Industria manufacturera,194,226,1,Ganado en pie de Ave,"52.54",Carne de Ave,"39.44",Ganado en pie de Porcino,"19.68",Maíz grano,"136.2",Trigo grano,"15.33",Frijol,"05.56",269,2,0.74,257,95.54,145,53.90,5.0,1.86,223,82.90,1.0,40.0,0.0,0.0,40,509,169,263,652,208,444,54,18,5,689,Fibras Vegetales,89,,,,,89,15.825,16.635,29.73
"314",San Pedro Juchatengo,1755,"58.2",11,Costa,Juquila,682,781,770,699,58.92,98.56,90.79,San Pedro Juchatengo,Barrio Santa Lucía,La Luna,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,99,272,6,Leche de Bovino,"441.1",Ganado en pie de Bovino,"179.7",Carne de Bovino,"94.87",Pastos y praderas,"709.5",Maíz grano,"391.2",Frijol,"63.57",487,1,0.21,445,91.38,31,6.37,4.0,0.82,431,88.50,1.0,83.0,0.0,0.0,922,1468,153,559,1305,306,999,359,41,50,822,,,,,,,,40.559,126.412,38.86
"315",San Pedro Mártir,1899,"7.6",1,Valles Centrales,Ocotlán,665,801,788,725,59.23,98.35,92.03,San Pedro Mártir,El Mogote Chico,Mojonera (La Raya de San Pedro Mártir),Comercio al por menor,34,67,4,Leche de Bovino,"21.97",Ganado en pie de Caprino,"08.70",Ganado en pie de Bovino,"06.88",Rosa (gruesa),"1,775",Tomate rojo (jitomate),"440.4",Alfalfa verde,"336.4",490,158,32.24,459,93.67,435,88.78,4.0,0.82,452,92.24,1.0,235.0,0.0,0.0,964,1566,516,629,1241,433,808,653,1,5,920,Textiles,4,,,,,4,3.904,11.59,35.02
"316",San Pedro Mártir Quiechapa,738,"121",1,Sierra Sur,Yautepec,263,344,338,298,59.81,98.42,88.01,San Pedro Mártir Quiechapa,,,Comercio al por menor,36,67,1,Ganado en pie de Porcino,"41.96",Carne de Porcino,"31.23",Huevo plato de Ave,"03.52",Agave,"1,536",Maíz grano,"325.9",Frijol,"58.14",217,0,0.00,202,93.09,129,59.45,7.0,3.23,150,69.12,1.0,23.0,0.0,0.0,131,619,384,148,654,301,354,67,7,9,604,,,,,,,,6.464,7.911,35.64
"317",San Pedro Mártir Yucuxaco,1257,"81.9",11,Mixteca,Tlaxiaco,421,553,546,512,58.26,98.71,93.77,San Pedro Mártir Yucuxaco,Cañada María,Guadalupe Hidalgo,Comercio al por menor,12,29,2,Leche de Bovino,"70.74",Ganado en pie de Bovino,"58.12",Carne de Bovino,"30.20",Maíz grano,"355.9",Frijol,"31.86",Tomate rojo (jitomate),"23.90",431,95,22.04,401,93.04,300,69.61,19.0,4.41,365,84.69,0.0,0.0,0.0,0.0,715,1004,290,273,1076,485,592,159,8,14,540,,,,,,,,2.009,4.292,33.49
"318",San Pedro Mixtepec,49780,"325.1",61,Costa,Juquila,21017,22582,22118,14830,62.78,97.94,67.05,Puerto Escondido,Bajos de Chila,San Pedro Mixtepec Distrito 22,Comercio al por menor,1970,5352,253,Ganado en pie de Bovino,"2,771",Leche de Bovino,"2,169",Carne de Bovino,"1,521",Pastos y praderas,"138,7",Papaya,"6,426",Maíz grano,"3,348",13784,221,1.60,10208,74.06,378,2.74,238.0,1.73,8281,60.08,13.0,3168.0,7.0,994.0,21206,31719,9375,9871,22131,5114,17017,14520,1241,4672,33031,Textiles,1,,,,,1,2180.621,6736.305,42.22
