"mun_id","mun_nom","pob_tot","sup_km2","mun_loc_tot","reg","dist","pob_18_44","pea_tot","pea_ocup","pea_ocup_inf","pct_pea","pct_ocup_pea","pct_ocup_inf","loc_princ_1","loc_princ_2","loc_princ_3","sec_princ","ue_sec_tot","ue_mun_tot","pymes_tot","prod_princ_1","vol_gan_1","prod_princ_2","vol_gan_2","prod_princ_3","vol_gan_3","cult_princ_1","vol_agri_1","cult_princ_2","vol_agri_2","cult_princ_3","vol_agri_3","viv_tot","viv_sin_agua","pct_viv_sin_agua","viv_sin_pc","pct_viv_sin_pc","viv_sin_dren","pct_viv_sin_dren","viv_sin_luz","pct_viv_sin_luz","viv_sin_int","pct_viv_sin_int","esc_ms_23_24","alum_ms_23_24","esc_sup_23_24","alum_sup_23_24","caren_salud","caren_seg_soc","acceso_alim","rez_educ","pobreza_multi","pobreza_ext","pobreza_mod","vul_caren_soc","vul_ing","no_pob_no_vul","afiliacion_salud","rama_princ_1","artesanos_tot_1","rama_princ_2","artesanos_tot_2","rama_princ_3","artesanos_tot_3","artesanos_tot_mun","vacb","total_ingresos","pct_de_18"
"001",Abejones,841,"126.4",1,Sierra Norte,Ixtlán de juárez,305,348,344,329,57.08,98.79,95.5,Abejones,,,Comercio al por menor,32,54,4,Ganado en pie de Bovino,"75.52",Carne de Bovino,"38.11",Leche de Bovino,"17.20",Maíz grano,"90.85",Frijol,"07.28",Aguacate,"03.09",216,1,0.46,199,92.13,49,22.69,4.0,1.85,199,92.13,1.0,66.0,0.0,0.0,45,755,307,247,787,204,583,52,1,1,793,Alfareria y Ceramica,1,,,,,1,1.42,5.336,36.27
"002",Acatlán de Pérez Figueroa,45167,"754.6",127,Papaloapan,Tuxtepec,16810,19409,19090,13611,59.17,98.36,71.3,Vicente Camalote,Acatlán de Pérez Figueroa,Tetela,Comercio al por menor,578,1741,36,Ganado en pie de Bovino,"1,819",Leche de Bovino,"1,299",Carne de Bovino,"1,006",Caña de azúcar,"1,129",Semilla de caña de azúcar,"18,14",Limón,"14,15",12999,1045,8.04,11282,86.79,2626,20.20,208.0,1.6,9299,71.54,8.0,1482.0,1.0,301.0,13982,27588,11201,12609,23820,7438,16381,11000,1214,4058,33304,Textiles,6,Talabartería y Peletería,1,,,7,532.562,2396.018,37.22
"174",Ánimas Trujano,4564,"3",5,Valles Centrales,Centro,1915,2136,2099,1599,61.16,98.26,76.16,Ánimas Trujano,El Zapotillo,La Tortuga [Paraje],Comercio al por menor,115,277,9,Leche de Bovino,"57.77",Ganado en pie de Bovino,"17.14",Ganado en pie de Ovino,"13.99",Alfalfa verde,"927.3",Tomate rojo (jitomate),"123.2",Maíz grano,"122.3",1219,54,4.43,695,57.01,6,0.49,9.0,0.74,594,48.73,0.0,0.0,0.0,0.0,1623,2353,556,547,1819,326,1494,1256,392,1099,2829,Materiales Diversos,1,,,,,1,276.675,819.527,41.96
"003",Asunción Cacalotepec,2547,"76.3",12,Sierra Norte,Mixe,890,1097,1081,936,59.04,98.51,86.53,Asunción Cacalotepec,Cerro Moneda,San Antonio Tlaxcaltepec,Comercio al por menor,37,80,0,Huevo plato de Ave,"09.20",Ganado en pie de Ave,"08.31",Ganado en pie de Bovino,"07.14",Maíz grano,"704.8",Café cereza,"473.2",Aguacate,"105.1",794,66,8.31,740,93.20,536,67.51,30.0,3.78,751,94.58,1.0,55.0,0.0,0.0,597,1880,198,816,2303,885,1418,191,31,23,1941,,,,,,,,2.886,16.341,34.94
"004",Asunción Cuyotepeji,1107,"83.7",4,Mixteca,Huajuapan,397,470,464,439,56.59,98.77,94.53,Asunción Cuyotepeji,Barrio Santa Cruz,Barrio San Antonio,Comercio al por menor,32,69,5,Ganado en pie de Bovino,"31.14",Carne de Bovino,"15.84",Ganado en pie de Porcino,"09.43",Maíz grano,"174.4",Pitaya,"78.60",Calabacita,"73.21",339,5,1.47,292,86.14,32,9.44,4.0,1.18,279,82.30,0.0,0.0,0.0,0.0,311,789,160,290,701,175,526,275,53,79,798,,,,,,,,3.316,9.928,35.86
"005",Asunción Ixtaltepec,15261,"658.9",73,Istmo,Juchitán,5305,6953,6816,5174,57.94,98.03,75.9,Asunción Ixtaltepec,Lázaro Cárdenas,Santiago Ixtaltepec,Industria manufacturera,189,620,28,Leche de Bovino,"3,862",Ganado en pie de Bovino,"2,449",Carne de Bovino,"1,347",Pastos y praderas,"230,6",Maíz grano,"2,359",Sorgo grano,"2,228",4934,125,2.53,3920,79.45,104,2.11,76.0,1.54,3524,71.42,6.0,711.0,0.0,0.0,3835,8125,4271,3607,4615,678,3937,6819,337,3136,11922,Alfareria y Ceramica,69,Textiles,12,Joyería,1,83,104.578,324.388,34.76
"006",Asunción Nochixtlán,20464,"343.4",69,Mixteca,Nochixtlán,7952,8683,8570,6252,60.67,98.71,72.95,Asunción Nochixtlán,Santa Catarina Adéquez (Adequés),Santiago Amatlán,Comercio al por menor,974,2255,78,Ganado en pie de Bovino,"340.5",Ganado en pie de Porcino,"324.7",Leche de Bovino,"254.1",Maíz grano,"1,926",Trigo grano,"1,145",Frijol,"358.5",5306,672,12.66,4137,77.97,876,16.51,195.0,3.68,4005,75.48,3.0,1383.0,1.0,348.0,8726,15444,3303,3016,14952,4364,10587,2760,673,1315,13477,Fibras Vegetales,68,Textiles,11,,,79,419.756,1485.699,38.86
"007",Asunción Ocotlán,2395,"4.5",2,Valles Centrales,Ocotlán,770,1037,1025,1017,55.22,98.82,99.2,Asunción Ocotlán,Jelaro,,Comercio al por menor,53,110,2,Leche de Bovino,"175.8",Ganado en pie de Bovino,"62.79",Carne de Bovino,"32.40",Tomate rojo (jitomate),"363.2",Alfalfa verde,"341.7",Maíz grano,"155.1",767,41,5.35,719,93.74,443,57.76,18.0,2.35,642,83.70,0.0,0.0,0.0,0.0,1038,1849,613,1304,2003,986,1017,380,4,10,1354,Textiles,2,,,,,2,5.393,17.097,32.15
"008",Asunción Tlacolulita,734,"189.9",2,Sierra Sur,Yautepec,198,289,288,288,50.25,99.76,100.0,Asunción Tlacolulita,San Juan Alotepec,,Comercio al por menor,17,59,2,Ganado en pie de Bovino,"40.28",Leche de Bovino,"33.75",Carne de Bovino,"20.51",Agave,"1,734",Papaya,"597.7",Maíz grano,"300.8",268,7,2.61,252,94.03,10,3.73,5.0,1.87,258,96.27,1.0,28.0,0.0,0.0,170,501,83,248,517,129,388,176,20,21,559,,,,,,,,1.554,5.017,26.98
"398",Ayoquezco de Aldama,4874,"104.4",13,Valles Centrales,Zimatlán,1752,2182,2147,1796,59.28,98.39,83.67,Ayoquezco de Aldama,Guegovela,El Llano,Comercio al por menor,192,423,4,Leche de Bovino,"592.7",Ganado en pie de Bovino,"154.9",Carne de Bovino,"80.90",Alfalfa verde,"4,598",Tomate rojo (jitomate),"1,486",Maíz grano,"1,098",1364,37,2.71,1216,89.15,450,32.99,14.0,1.03,1142,83.72,1.0,111.0,0.0,0.0,1187,4001,902,1940,3770,998,2771,982,37,87,3628,,,,,,,,39.472,211.469,35.95
"009",Ayotzintepec,6857,"157.5",6,Papaloapan,Tuxtepec,2569,2740,2733,2733,58.02,99.77,100.0,Ayotzintepec,San Pedro Ozumacín,Monte Tinta,Comercio al por menor,144,319,5,Ganado en pie de Bovino,"865.6",Carne de Bovino,"467.3",Leche de Bovino,"247.1",Pastos y praderas,"206,8",Maíz grano,"17,84",Café cereza,"234.9",1944,128,6.58,1835,94.39,401,20.63,32.0,1.65,1752,90.12,1.0,228.0,0.0,0.0,1006,6232,4145,2068,6459,3108,3352,280,101,20,5305,,,,,,,,40.516,114.747,37.47
"011",Calihualá,1402,"67.7",5,Mixteca,Silacayoápam,446,557,549,494,59.34,98.57,89.94,Calihualá,San Antonio o las Mesas,El Calvario,Comercio al por menor,48,76,3,Ganado en pie de Bovino,"38.76",Ganado en pie de Porcino,"32.17",Carne de Porcino,"24.19",Maíz grano,"312.9",Tomate rojo (jitomate),"09.39",Frijol,"04.10",339,15,4.42,323,95.28,91,26.84,6.0,1.77,326,96.17,0.0,0.0,0.0,0.0,291,1146,752,568,1171,553,618,209,7,17,1113,,,,,,,,1.969,8.794,31.81
"012",Candelaria Loxicha,11166,"181",79,Costa,Pochutla,3817,4092,4054,3805,59.21,99.08,93.86,Candelaria Loxicha,Los Horcones,Miramar,Comercio al por menor,287,666,15,Ganado en pie de Bovino,"128.8",Miel de Abeja,"89.79",Carne de Bovino,"67.76",Pastos y praderas,"5,660",Plátano,"1,570",Café cereza,"1,175",2446,395,16.15,2279,93.17,622,25.43,215.0,8.79,2370,96.89,2.0,234.0,0.0,0.0,4663,9309,3898,4420,9457,4999,4458,1496,39,179,6427,Textiles,7,Fibras Vegetales,1,,,8,44.433,104.127,34.18
"247",Capulálpam de Méndez,1619,"37.2",4,Sierra Norte,Ixtlán de juárez,589,734,721,591,58.71,98.16,81.95,Capulálpam de Méndez,Loma del Romero,La Herradura,Comercio al por menor,59,169,8,Ganado en pie de Porcino,"21.75",Carne de Porcino,"16.39",Ganado en pie de Bovino,"08.38",Gladiola (gruesa),"262.7",Alfalfa verde,"131.7",Maíz grano,"96.40",418,1,0.24,265,63.40,1,0.24,0.0,0.0,190,45.45,1.0,358.0,0.0,0.0,353,936,90,125,556,42,515,510,109,445,1271,,,,,,,,17.263,34.662,36.38
"025",Chahuites,11356,"22.7",6,Istmo,Juchitán,4330,4935,4848,4026,59.54,98.25,83.04,Chahuites,Los Conejos,El Porvenir,Comercio al por menor,435,993,46,Miel de Abeja,"100.5",Ganado en pie de Porcino,"90.19",Carne de Porcino,"66.65",Mango,"13,20",Melón,"810.9",Sandía,"736.0",3262,750,22.99,2800,85.84,67,2.05,24.0,0.74,2569,78.76,1.0,284.0,0.0,0.0,5916,8928,3794,3522,7008,2261,4747,3425,107,503,6973,,,,,,,,148.594,511.053,38.13
"026",Chalcatongo de Hidalgo,9035,"133.3",27,Mixteca,Tlaxiaco,3124,3755,3721,3308,57.92,99.1,88.88,Chalcatongo de Hidalgo,Progreso,Chapultepec,Comercio al por menor,351,661,9,Leche de Bovino,"111.9",Ganado en pie de Ovino,"107.6",Ganado en pie de Bovino,"104.4",Maíz grano,"2,777",Alfalfa verde,"515.0",Avena forrajera en verde,"457.4",2551,275,10.78,2236,87.65,1062,41.63,45.0,1.76,2032,79.66,2.0,374.0,1.0,265.0,2227,6729,2665,2083,7443,2294,5149,1166,193,237,6536,Textiles,2,,,,,2,99.863,408.709,34.58
"027",Chiquihuitlán de Benito Juárez,2179,"36",12,Cañada,Cuicatlán,674,919,908,888,55.9,98.84,97.77,Chiquihuitlán de Benito Juárez,La Concepción,Agua Tendida,Comercio al por menor,41,82,3,Ganado en pie de Ave,"74.74",Carne de Ave,"56.01",Leche de Bovino,"29.32",Caña de azúcar piloncillo,"4,393",Limón,"2,408",Maíz grano,"272.5",744,52,6.99,701,94.22,184,24.73,20.0,2.69,592,79.57,1.0,75.0,0.0,0.0,389,1760,885,1058,1935,702,1233,195,22,29,1789,,,,,,,,2.46,12.969,30.93
"013",Ciénega de Zimatlán,3043,"10.3",5,Valles Centrales,Zimatlán,1105,1401,1375,1112,59.73,98.19,80.85,Ciénega de Zimatlán,Logoto (Guachi-Guachi),Paraje el Carricillo (Barrio de Arriba),Comercio al por menor,117,316,6,Leche de Bovino,"633.5",Ganado en pie de Bovino,"185.3",Carne de Bovino,"97.84",Alfalfa verde,"6,677",Tomate rojo (jitomate),"2,779",Maíz forrajero en verde,"2,661",896,4,0.45,681,76.00,23,2.57,8.0,0.89,372,41.52,1.0,284.0,0.0,0.0,886,2361,276,915,2113,273,1840,702,90,139,2150,,,,,,,,19.341,61.545,36.31
"014",Ciudad Ixtepec,28082,"294.1",40,Istmo,Juchitán,10551,12611,12325,8585,59.01,97.73,69.65,Ciudad Ixtepec,Colonia Niza Luba,La Candelaria [Colonia],Comercio al por menor,949,2512,99,Ganado en pie de Bovino,"226.1",Leche de Bovino,"197.1",Carne de Bovino,"122.8",Maíz grano,"2,372",Sorgo grano,"916.2",Ajonjolí,"86.40",8568,185,2.16,5770,67.34,115,1.34,89.0,1.04,4289,50.06,6.0,2060.0,4.0,926.0,8444,12737,4667,3891,7488,1085,6403,9404,1202,6829,20968,Textiles,44,Madera Tallada,1,Materiales Diversos,1,47,702.165,2529.142,37.57
"015",Coatecas Altas,5356,"119.4",17,Valles Centrales,Ejutla,1860,2198,2182,2182,58.32,99.27,100.0,Coatecas Altas,Tepehuaje,Poblete,Industria manufacturera,142,218,4,Leche de Bovino,"256.3",Ganado en pie de Bovino,"95.13",Ganado en pie de Porcino,"65.86",Alfalfa verde,"1,861",Maíz grano,"1,394",Agave,"468.5",1212,204,16.83,1190,98.18,746,61.55,20.0,1.65,903,74.50,1.0,230.0,0.0,0.0,1525,4609,1177,2664,5096,2703,2393,249,10,3,3837,,,,,,,,7.363,15.87,34.73
"016",Coicoyán de las Flores,9563,"126.1",21,Mixteca,Juxtlahuaca,3227,3354,3332,3332,59.06,99.37,100.0,Coicoyán de las Flores,El Jicaral,Coyul,Comercio al por menor,136,239,4,Ganado en pie de Bovino,"92.01",Ganado en pie de Porcino,"65.05",Carne de Porcino,"48.96",Maíz grano,"2,590",Tomate rojo (jitomate),"224.8",Frijol,"57.57",1658,39,2.35,1626,98.07,1137,68.58,128.0,7.72,1586,95.66,3.0,146.0,0.0,0.0,1543,8530,4762,5188,9500,7878,1622,59,7,0,8005,No Clasificado,10,Madera Tallada,2,,,12,8.894,37.086,33.74
"018",Concepción Buenavista,752,"224.6",7,Mixteca,Coixtlahuaca,225,298,295,295,54.89,99.11,100.0,Concepción Buenavista,El Enebro,San Miguel Astatla,Industria manufacturera,15,41,1,Ganado en pie de Bovino,"94.49",Carne de Bovino,"49.14",Ganado en pie de Caprino,"25.04",Trigo grano,"81.03",Maíz grano,"62.47",Tomate rojo (jitomate),"34.50",237,14,5.91,226,95.36,21,8.86,9.0,3.8,208,87.76,0.0,0.0,0.0,0.0,128,569,180,282,571,179,392,147,13,21,616,,,,,,,,2.289,3.743,29.92
"019",Concepción Pápalo,2754,"173.6",17,Cañada,Cuicatlán,917,1185,1171,1080,57.68,98.78,92.24,San Lorenzo Pápalo,Concepción Pápalo,Peña Blanca,Comercio al por menor,22,45,0,Ganado en pie de Ave,"96.96",Carne de Ave,"72.80",Leche de Bovino,"23.86",Maíz grano,"1,428",Aguacate,"116.3",Durazno,"65.94",853,4,0.47,820,96.13,199,23.33,4.0,0.47,806,94.49,1.0,55.0,0.0,0.0,557,2085,742,1195,2564,951,1613,106,56,29,2194,Textiles,10,Fibras Vegetales,9,,,19,1.737,6.651,33.30
"020",Constancia del Rosario,4847,"57.2",12,Sierra Sur,Putla,1570,1725,1710,1646,56.95,99.13,96.28,Constancia del Rosario,San José Yosocañú (Yosocanú),Santa Cruz Río Venado,Comercio al por menor,38,100,8,Ganado en pie de Bovino,"60.25",Miel de Abeja,"44.75",Carne de Bovino,"31.56",Caña de azúcar piloncillo,"3,728",Maíz grano,"964.3",Plátano,"200.5",1055,10,0.95,908,86.07,50,4.74,32.0,3.03,915,86.73,2.0,154.0,0.0,0.0,762,4024,2242,1815,3799,2083,1716,796,35,219,4065,,,,,,,,24.094,81.496,32.39
"021",Cosolapa,14488,"112.1",31,Papaloapan,Tuxtepec,5509,6364,6221,4306,60.36,97.77,69.21,Cosolapa,Estación Refugio,Almolonga,Comercio al por menor,301,746,14,Ganado en pie de Bovino,"184.7",Ganado en pie de Porcino,"171.6",Carne de Porcino,"128.5",Caña de azúcar,"219,1",Semilla de caña de azúcar,"30,36",Maíz grano,"997.4",4099,157,3.83,3397,82.87,186,4.54,56.0,1.37,3032,73.97,3.0,562.0,0.0,0.0,5104,8608,3116,3465,7370,1991,5379,3432,553,1596,11015,,,,,,,,179.222,922.696,38.02
"022",Cosoltepec,803,"111.7",9,Mixteca,Huajuapan,163,322,318,289,51.17,98.82,90.74,Cosoltepec,Joluxtla,Tultitlán de Guadalcázar,Industria manufacturera,14,47,2,Ganado en pie de Caprino,"54.95",Carne de Caprino,"27.95",Ganado en pie de Bovino,"22.95",Pitaya,"167.5",Maíz grano,"81.84",Nopalitos,"26.20",296,16,5.41,282,95.27,75,25.34,8.0,2.7,283,95.61,0.0,0.0,0.0,0.0,192,379,291,187,609,189,420,105,44,44,616,Fibras Vegetales,4,,,,,4,0.848,3.335,20.30
"023",Cuilápam de Guerrero,26882,"49.8",35,Valles Centrales,Centro,11393,12690,12488,9467,64.3,98.41,75.81,Cuilápam de Guerrero,Lomas de San Juan,Cruz Blanca,Comercio al por menor,504,1044,18,Leche de Bovino,"442.4",Ganado en pie de Porcino,"375.7",Carne de Porcino,"277.8",Alfalfa verde,"2,589",Maíz grano,"1,252",Tomate rojo (jitomate),"594.7",6975,2613,37.46,5182,74.29,1508,21.62,344.0,4.93,4873,69.86,1.0,1460.0,0.0,0.0,15354,20657,5757,4964,17028,5958,11070,8682,1035,2916,16026,Fibras Vegetales,12,Madera Tallada,2,Textiles,2,21,72.418,205.955,42.38
"024",Cuyamecalco Villa de Zaragoza,3644,"79.1",30,Cañada,Cuicatlán,1124,1480,1462,1266,57.32,98.8,86.61,Cuyamecalco Villa de Zaragoza,Buenos Aires,Guadalupe la Ciénega,Comercio al por menor,39,95,3,Ganado en pie de Ave,"113.4",Carne de Ave,"84.76",Leche de Bovino,"22.79",Maíz grano,"294.6",Aguacate,"117.3",Granada,"115.6",1019,32,3.14,968,95.00,279,27.38,25.0,2.45,753,73.90,1.0,90.0,0.0,0.0,1101,2935,1120,1817,3418,1697,1721,169,39,20,2555,Textiles,2,,,,,2,5.076,15.406,30.85
"010",El Barrio de la Soledad,13474,"252.1",54,Istmo,Juchitán,4658,6047,5920,3544,57.28,97.9,59.86,Colonia Progreso,El Barrio de la Soledad,Almoloya de Gutiérrez,Comercio al por menor,150,462,34,Leche de Bovino,"1,042",Ganado en pie de Bovino,"654.1",Carne de Bovino,"353.6",Pastos y praderas,"51,55",Maíz grano,"902.4",,,4332,99,2.29,3084,71.19,96,2.22,32.0,0.74,2961,68.35,2.0,574.0,0.0,0.0,4716,5692,2834,2826,3357,670,2688,6029,483,4639,10773,Textiles,3,,,,,3,1610.874,5105.69,34.57
"030",El Espinal,8730,"56.1",72,Istmo,Juchitán,3246,4080,3973,2493,59.78,97.38,62.76,El Espinal,Colonia Obrera Ex-Ingenio Juchitán,Colonia Nueva (José López Portillo),Comercio al por menor,170,534,30,Leche de Bovino,"856.6",Ganado en pie de Bovino,"680.3",Carne de Bovino,"374.9",Pastos y praderas,"54,01",Sorgo grano,"1,939",Maíz grano,"630.9",2566,64,2.49,1413,55.07,35,1.36,34.0,1.33,1131,44.08,2.0,1086.0,3.0,490.0,1593,3694,1345,1330,2127,204,1923,2926,512,3169,6972,Textiles,1,,,,,1,541.621,1037.237,37.18
"029",Eloxochitlán de Flores Magón,4215,"35.8",27,Cañada,Teotitlán,1348,1593,1578,1554,57.18,99.05,98.51,Eloxochitlán de Flores Magón,Agua Blanca,Agua Iglesia,Comercio al por menor,47,102,8,Ganado en pie de Ave,"48.26",Carne de Ave,"36.16",Ganado en pie de Porcino,"31.60",Café cereza,"816.0",Maíz grano,"504.0",Aguacate,"14.56",1164,87,7.47,1111,95.45,698,59.97,41.0,3.52,1076,92.44,1.0,165.0,0.0,0.0,511,3631,715,1951,3843,2038,1805,304,26,44,3650,,,,,,,,9.783,27.611,31.98
"032",Fresnillo de Trujano,1077,"61.3",5,Mixteca,Huajuapan,350,454,448,405,58.07,98.68,90.48,Ciruelos de Guaponcingo,Fresnillo de Trujano,Guamúchil de Guerrero o San Isidro,Comercio al por menor,11,28,0,Ganado en pie de Bovino,"32.07",Ganado en pie de Porcino,"20.06",Carne de Bovino,"16.54",Maíz grano,"68.00",Cacahuate,"03.33",Frijol,"01.05",319,60,18.81,306,95.92,32,10.03,4.0,1.25,307,96.24,0.0,0.0,0.0,0.0,236,722,306,418,811,205,607,224,27,16,840,,,,,,,,1.6,3.97,32.50
"034",Guadalupe de Ramírez,1288,"30.8",3,Mixteca,Silacayoápam,412,527,520,461,56.27,98.72,88.71,Guadalupe de Ramírez,San Ildefonso Salinas,Santa María Salinas,Comercio al por menor,34,77,2,Ganado en pie de Bovino,"79.09",Carne de Bovino,"41.76",Ganado en pie de Porcino,"29.34",Maíz grano,"75.94",Nopalitos,"16.50",Pitaya,"04.11",387,32,8.27,355,91.73,23,5.94,1.0,0.26,380,98.19,1.0,73.0,0.0,0.0,231,986,294,438,880,187,693,355,18,36,1043,,,,,,,,6.46,17.365,31.99
"033",Guadalupe Etla,2929,"4.3",4,Valles Centrales,Etla,1175,1387,1352,876,60.65,97.48,64.82,Guadalupe Etla,La Capellanía,La Resurrección [Paraje],Comercio al por menor,59,182,5,Leche de Bovino,"232.1",Ganado en pie de Bovino,"57.21",Carne de Bovino,"29.46",Maíz forrajero en verde,"1,387",Alfalfa verde,"1,308",Maíz grano,"158.7",771,14,1.82,489,63.42,48,6.23,7.0,0.91,426,55.25,0.0,0.0,0.0,0.0,1090,1598,907,362,736,123,613,1372,83,739,1788,,,,,,,,165.034,461.268,40.12
"035",Guelatao de Juárez,657,"4.5",4,Sierra Norte,Ixtlán de juárez,239,260,255,175,59.94,97.95,68.62,Guelatao de Juárez,Río Grande,Llano de la Cheta,Servicios de alojamiento temporal y de preparación de alimentos y bebidas,17,71,4,Ganado en pie de Bovino,"03.22",Ganado en pie de Porcino,"03.02",Carne de Porcino,"02.24",Alfalfa verde,"73.39",Maíz grano,"12.08",Manzana,"03.05",165,0,0.00,84,50.91,3,1.82,0.0,0.0,84,50.91,1.0,74.0,1.0,123.0,87,299,37,43,186,7,180,166,78,227,572,,,,,,,,8.518,25.918,36.38
"036",Guevea de Humboldt,5256,"280.9",24,Istmo,Tehuantepec,1938,2209,2177,1928,60.18,98.57,88.54,Guevea de Humboldt,Guadalupe,Xadani,Comercio al por menor,39,113,3,Ganado en pie de Bovino,"228.3",Leche de Bovino,"167.3",Carne de Bovino,"125.0",Pastos y praderas,"27,00",Maíz grano,"1,296",Café cereza,"986.0",1521,14,0.92,1382,90.86,125,8.22,41.0,2.7,972,63.91,2.0,157.0,0.0,0.0,571,4436,2635,1915,4240,1301,2940,914,33,71,4544,,,,,,,,8.569,24.743,36.87
"028",Heroica Ciudad de Ejutla de Crespo,23148,"317.5",37,Valles Centrales,Ejutla,8399,9862,9701,8023,59.63,98.37,82.7,Heroica Ciudad de Ejutla de Crespo,Santa Marta Chichihualtepec,Santa Cruz Nexila,Comercio al por menor,504,1171,27,Leche de Bovino,"1,077",Ganado en pie de Bovino,"369.7",Ganado en pie de Porcino,"269.1",Alfalfa verde,"13,18",Tomate rojo (jitomate),"9,208",Agave,"8,533",6070,580,9.56,5485,90.36,1164,19.18,103.0,1.7,4724,77.83,2.0,728.0,0.0,0.0,13297,19286,5491,7559,15356,4590,10766,6887,214,781,12510,Orfebreria,2,Talabartería y Peletería,1,,,3,188.671,883.077,36.28
"039",Heroica Ciudad de Huajuapan de León,78313,"325.8",55,Mixteca,Huajuapan,31758,34828,34158,23647,61.65,98.08,69.23,Heroica Ciudad de Huajuapan de León,El Molino,Vista Hermosa,Comercio al por menor,3004,7026,292,Ganado en pie de Porcino,"416.5",Ganado en pie de Bovino,"369.4",Carne de Porcino,"320.8",Maíz grano,"1,688",Alfalfa verde,"602.9",Calabacita,"414.2",20221,1269,6.28,13335,65.95,367,1.81,181.0,0.9,12290,60.78,8.0,2689.0,9.0,2955.0,36161,50915,15676,12735,34138,7817,26321,24656,3521,12837,40735,Fibras Vegetales,42,Textiles,22,Alfareria y Ceramica,3,72,2163.479,7297.326,40.55
"397",Heroica Ciudad de Tlaxiaco,40123,"346.5",105,Mixteca,Tlaxiaco,16047,17342,17075,12718,60.73,98.46,74.48,Heroica Ciudad de Tlaxiaco,Barrio de San Diego,La Lobera,Comercio al por menor,1240,2927,94,Leche de Bovino,"288.3",Ganado en pie de Bovino,"286.0",Carne de Bovino,"152.9",Maíz grano,"2,236",Alfalfa verde,"1,990",Avena forrajera en verde,"418.0",10514,1251,11.90,7844,74.61,3495,33.24,151.0,1.44,7589,72.18,10.0,2690.0,6.0,1507.0,23936,27792,9047,5706,24223,7190,17033,14014,1384,4914,24164,Textiles,30,Fibras Vegetales,5,Alfareria y Ceramica,3,42,572.353,2264.671,39.99
"549",Heroica Villa Tezoatlán de Segura y Luna Cuna de la Independencia de Oaxaca,11465,"486.6",35,Mixteca,Huajuapan,4045,4878,4850,4656,57.77,99.42,96.0,Yucuquimi de Ocampo,Heroica Villa Tezoatlán de Segura y Luna Cuna de la Independencia de Oaxaca,San Andrés Yutatío,Comercio al por menor,148,361,8,Ganado en pie de Porcino,"366.0",Carne de Porcino,"274.4",Ganado en pie de Bovino,"271.1",Maíz grano,"6,566",Alfalfa verde,"895.0",Calabacita,"700.1",3291,104,3.16,3063,93.07,608,18.47,74.0,2.25,3041,92.40,3.0,251.0,1.0,7.0,4564,9075,5199,4074,8313,3270,5043,2650,63,165,8312,Fibras Vegetales,12,,,,,12,39.307,116.266,35.28
"040",Huautepec,6385,"47",25,Cañada,Teotitlán,2087,2376,2357,2315,58.44,99.19,98.21,Huautepec,El Camarón,Cueva de los Seres,Comercio al por menor,60,111,4,Ganado en pie de Ave,"54.28",Carne de Ave,"40.53",Ganado en pie de Porcino,"36.04",Caña de azúcar piloncillo,"7,104",Maíz grano,"949.0",Café cereza,"689.6",1644,573,34.85,1600,97.32,1222,74.33,96.0,5.84,1519,92.40,1.0,69.0,0.0,0.0,1097,5832,4382,3001,6226,4809,1417,141,9,11,5238,Textiles,1,,,,,1,5.715,15.465,32.69
"041",Huautla de Jiménez,31710,"148",114,Cañada,Teotitlán,10789,12909,12591,11411,58.08,97.53,90.63,Huautla de Jiménez,San Andrés Hidalgo,Xochitonalco,Comercio al por menor,950,1920,34,Ganado en pie de Ave,"367.8",Carne de Ave,"277.0",Ganado en pie de Porcino,"260.9",Maíz grano,"2,423",Café cereza,"986.7",Aguacate,"121.4",8764,2210,25.22,7625,87.00,2682,30.60,286.0,3.26,6722,76.70,6.0,1086.0,0.0,0.0,8625,20446,11571,11774,26030,12716,13314,3204,1005,1487,22732,Textiles,239,Alfareria y Ceramica,1,Madera Tallada,1,241,150.33,544.101,34.02
"065",Ixpantepec Nieves,1079,"72.5",9,Mixteca,Silacayoápam,335,458,453,445,54.43,98.86,98.31,Ixpantepec Nieves,Santa María Asunción,Santa María Natividad,Comercio al por menor,21,69,3,Ganado en pie de Porcino,"34.16",Ganado en pie de Bovino,"31.32",Carne de Porcino,"25.91",Maíz grano,"350.1",Agave,"164.5",Frijol,"35.04",349,13,3.72,331,94.84,18,5.16,7.0,2.01,344,98.57,0.0,0.0,0.0,0.0,517,780,319,554,924,357,566,142,8,6,562,,,,,,,,2.087,6.267,31.05
"042",Ixtlán de Juárez,8385,"562.3",18,Sierra Norte,Ixtlán de juárez,3277,3542,3472,2545,60.47,98.03,73.28,Ixtlán de Juárez,La Josefina,Santiago Teotlasco,Comercio al por menor,146,415,24,Ganado en pie de Bovino,"329.2",Ganado en pie de Porcino,"203.6",Carne de Bovino,"178.5",Maíz grano,"1,765",Café cereza,"1,162",Caña de azúcar piloncillo,"738.4",2306,7,0.30,1806,78.32,207,8.98,15.0,0.65,1553,67.35,3.0,275.0,1.0,300.0,1532,6370,522,1774,6243,1318,4925,1034,532,580,6337,Alfareria y Ceramica,1,,,,,1,87.569,364.724,39.08
